Certification_Code,Certification_Name,Certification_Level,Primary_Product_Area,Version_Notes,Status_Insight
C_ACT_2403,SAP Certified Associate - SAP Activate Project Manager,Associate,Project Management,2403 (Mar 2024),Current
C_ACTIVATE13,SAP Certified Associate - SAP Activate Project Manager,Associate,Project Management,13,Current
C_ACTIVATE22,SAP Certified Associate - SAP Activate Project Manager,Associate,Project Management,22,Current
C_ARCIG_2208,SAP Certified Application Associate - SAP Ariba Integration with Cloud Integration Gateway,Associate,Ariba,2208 (Aug 2022),Current
C_ARCON_2208,SAP Certified Application Associate - SAP Ariba Contracts,Associate,Ariba,2208 (Aug 2022),Current
C_ARP2P_2208,SAP Certified Application Associate - SAP Ariba Procurement,Associate,Ariba,2208 (Aug 2022),Current
C_ARSCC_2208,SAP Certified Application Associate - SAP Ariba Supply Chain Collaboration,Associate,Ariba,2208 (Aug 2022),Current
C_ARSOR_2208,SAP Certified Application Associate - SAP Ariba Sourcing,Associate,Ariba,2208 (Aug 2022),Current
C_ARSUM_2208,SAP Certified Application Associate - SAP Ariba Supplier Management,Associate,Ariba,2208 (Aug 2022),Current
C_BOBIP_40,SAP Certified Application Associate – SAP BusinessObjects Business Intelligence Platform 4.0,Associate,Business Intelligence,4,Legacy
C_BOBIP_42,SAP Certified Application Associate - SAP BusinessObjects Business Intelligence Platform 4.2,Associate,Business Intelligence,4.2,Current
C_BOBIP_43,SAP Certified Application Associate - SAP BusinessObjects Business Intelligence Platform 4.3,Associate,Business Intelligence,4.3,Current
C_BOWI_40,SAP Certified Application Associate – SAP BusinessObjects Web Intelligence 4.0,Associate,Business Intelligence,4,Legacy
C_BOWI_42,SAP Certified Application Associate - SAP BusinessObjects Web Intelligence 4.2,Associate,Business Intelligence,4.2,Current
C_BOWI_4302,SAP Certified Application Associate - SAP BusinessObjects Web Intelligence 4.3,Associate,Business Intelligence,4.3,Current
C_BRSOM_2020,SAP Certified Application Associate - SAP Billing and Revenue Innovation Mgmt. - Subscription Order Management,Associate,BRIM,2020,Current
C_BRU2C_2020,SAP Certified Application Associate - SAP Billing and Revenue Innovation Management - Usage to Cash,Associate,BRIM,2020,Current
